KI67 NEG: Perimeter: 92.225, Area: 174, HullArea: 252.5, Ratio: 0.094847, Color: [177.22, 174.82, 185.52, 255]
KI67 POS: Perimeter: 84.184, Area: 399.5, HullArea: 421.5, Ratio: 0.31595, Color: [130.77, 136.71, 164.35, 255]
KI67 NEG: Perimeter: 29.314, Area: 50, HullArea: 54.5, Ratio: 0.64862, Color: [216.27, 182.76, 165.08, 255]
KI67 NEG: Perimeter: 77.698, Area: 110.5, HullArea: 160, Ratio: 0.022964, Color: [228.28, 200.95, 190.41, 255]
KI67 NEG: Perimeter: 59.113, Area: 107, HullArea: 133, Ratio: 0.25448, Color: [170.12, 164.42, 175.33, 255]
KI67 NEG: Perimeter: 60.669, Area: 153.5, HullArea: 174.5, Ratio: 0.11477, Color: [169.87, 158.84, 164.25, 255]
KI67 NEG: Perimeter: 34.385, Area: 64.5, HullArea: 72.5, Ratio: 0.43555, Color: [219.49, 196.04, 184.49, 255]
KI67 NEG: Perimeter: 46.142, Area: 75, HullArea: 87, Ratio: 0.065778, Color: [212.46, 172.69, 155.58, 255]
KI67 POS: Perimeter: 72.77, Area: 266, HullArea: 297.5, Ratio: 0.36879, Color: [90.039, 89.68, 126.59, 255]
NORMAL: Perimeter: 32.142, Area: 48, HullArea: 54.5, Ratio: 0.17792, Color: [90.039, 89.68, 126.59, 255]
NORMAL: Perimeter: 24.243, Area: 29.5, HullArea: 35, Ratio: 0.44393, Color: [90.039, 89.68, 126.59, 255]
NORMAL: Perimeter: 22.728, Area: 31.5, HullArea: 34.5, Ratio: 0.49154, Color: [90.039, 89.68, 126.59, 255]
KI67 NEG: Perimeter: 55.456, Area: 77, HullArea: 113.5, Ratio: 0.082786, Color: [216.85, 199.18, 191.28, 255]
KI67 NEG: Perimeter: 41.799, Area: 60, HullArea: 73, Ratio: 0.084089, Color: [224.2, 194.56, 180.3, 255]
NORMAL: Perimeter: 27.071, Area: 30.5, HullArea: 36.5, Ratio: 0.15861, Color: [224.2, 194.56, 180.3, 255]
NORMAL: Perimeter: 44.385, Area: 36.5, HullArea: 53.5, Ratio: 0.060462, Color: [224.2, 194.56, 180.3, 255]
KI67 NEG: Perimeter: 34.971, Area: 79, HullArea: 84.5, Ratio: 0.6375, Color: [184.86, 158.26, 152.02, 255]
KI67 NEG: Perimeter: 78.426, Area: 232, HullArea: 293.5, Ratio: 0.59884, Color: [197.88, 165.39, 154.69, 255]
KI67 NEG: Perimeter: 38.142, Area: 67, HullArea: 78.5, Ratio: 0.28232, Color: [224.09, 194.78, 182.52, 255]
KI67 NEG: Perimeter: 32.728, Area: 59.5, HullArea: 66.5, Ratio: 0.47566, Color: [190.86, 168.06, 160.54, 255]
KI67 NEG: Perimeter: 72.527, Area: 204.5, HullArea: 239.5, Ratio: 0.24392, Color: [191.32, 166.07, 158.64, 255]
NORMAL: Perimeter: 26.728, Area: 26.5, HullArea: 35, Ratio: 0.46165, Color: [191.32, 166.07, 158.64, 255]
KI67 NEG: Perimeter: 30.971, Area: 60, HullArea: 64.5, Ratio: 0.6244, Color: [173.25, 171.39, 186.75, 255]
KI67 NEG: Perimeter: 75.012, Area: 311.5, HullArea: 330.5, Ratio: 0.3577, Color: [223.67, 196.86, 182.2, 255]
KI67 POS: Perimeter: 55.698, Area: 197.5, HullArea: 207, Ratio: 0.47005, Color: [108.8, 115.41, 145.84, 255]
KI67 NEG: Perimeter: 131.54, Area: 291, HullArea: 433, Ratio: 0.075196, Color: [232.55, 202.74, 189.31, 255]
KI67 POS: Perimeter: 79.598, Area: 204, HullArea: 263, Ratio: 0.14733, Color: [120.52, 137.95, 178.01, 255]
KI67 POS: Perimeter: 64.527, Area: 256.5, HullArea: 271.5, Ratio: 0.38895, Color: [99.849, 107.58, 143.82, 255]
KI67 NEG: Perimeter: 63.698, Area: 159.5, HullArea: 175, Ratio: 0.090866, Color: [220.83, 183.19, 164.77, 255]
KI67 POS: Perimeter: 101.88, Area: 350, HullArea: 418, Ratio: 0.14089, Color: [113.63, 113.93, 141.25, 255]
KI67 POS: Perimeter: 59.456, Area: 176, HullArea: 189.5, Ratio: 0.25857, Color: [102.07, 107.81, 144.45, 255]
KI67 NEG: Perimeter: 90.669, Area: 201.5, HullArea: 279.5, Ratio: 0.23849, Color: [165.1, 158.32, 170.78, 255]
NORMAL: Perimeter: 27.314, Area: 32, HullArea: 37.5, Ratio: 0.28009, Color: [165.1, 158.32, 170.78, 255]
KI67 NEG: Perimeter: 59.355, Area: 151.5, HullArea: 179, Ratio: 0.55137, Color: [187.03, 171.78, 170.75, 255]
NORMAL: Perimeter: 26.385, Area: 30.5, HullArea: 33, Ratio: 0.088374, Color: [187.03, 171.78, 170.75, 255]
KI67 NEG: Perimeter: 57.941, Area: 164, HullArea: 178.5, Ratio: 0.15782, Color: [156.04, 142.95, 151.16, 255]
KI67 NEG: Perimeter: 53.698, Area: 132.5, HullArea: 159, Ratio: 0.36076, Color: [163.81, 152.06, 155.6, 255]
KI67 NEG: Perimeter: 55.698, Area: 119.5, HullArea: 135.5, Ratio: 0.19927, Color: [176.92, 147.57, 141.09, 255]
KI67 NEG: Perimeter: 38.385, Area: 89.5, HullArea: 91.5, Ratio: 0.28329, Color: [197.81, 170.21, 163.81, 255]
KI67 NEG: Perimeter: 36.971, Area: 81, HullArea: 87, Ratio: 0.63991, Color: [200.2, 178.76, 173.35, 255]
KI67 NEG: Perimeter: 31.556, Area: 58.5, HullArea: 61, Ratio: 0.25083, Color: [213.3, 170.66, 153.93, 255]
KI67 NEG: Perimeter: 36.142, Area: 68, HullArea: 76, Ratio: 0.20601, Color: [217.4, 175.37, 156.64, 255]
NORMAL: Perimeter: 25.314, Area: 31, HullArea: 37.5, Ratio: 0.1923, Color: [217.4, 175.37, 156.64, 255]
KI67 POS: Perimeter: 57.698, Area: 194.5, HullArea: 205, Ratio: 0.39088, Color: [119.46, 136.07, 172.55, 255]
KI67 NEG: Perimeter: 57.941, Area: 228, HullArea: 234, Ratio: 0.60415, Color: [203.52, 173.23, 160.71, 255]
KI67 POS: Perimeter: 58.284, Area: 188, HullArea: 204, Ratio: 0.38605, Color: [93.932, 103.14, 137.2, 255]
NORMAL: Perimeter: 32.971, Area: 42, HullArea: 47.5, Ratio: 0.065841, Color: [93.932, 103.14, 137.2, 255]
KI67 POS: Perimeter: 76.912, Area: 374, HullArea: 392, Ratio: 0.55311, Color: [107.06, 113.94, 148.28, 255]
KI67 NEG: Perimeter: 67.598, Area: 214, HullArea: 243.5, Ratio: 0.35, Color: [211.37, 178.25, 167.02, 255]
KI67 POS: Perimeter: 56.77, Area: 215, HullArea: 223.5, Ratio: 0.5377, Color: [128.36, 134.8, 160.59, 255]
KI67 NEG: Perimeter: 88.426, Area: 169, HullArea: 238, Ratio: 0.44466, Color: [214.42, 180.17, 165.19, 255]
KI67 NEG: Perimeter: 144.61, Area: 318.5, HullArea: 474.5, Ratio: 0.24642, Color: [134.76, 128.4, 142.46, 255]
NORMAL: Perimeter: 25.071, Area: 25.5, HullArea: 31, Ratio: 0.1338, Color: [134.76, 128.4, 142.46, 255]
KI67 NEG: Perimeter: 59.941, Area: 190, HullArea: 209, Ratio: 0.41798, Color: [208.62, 184.07, 176.07, 255]
KI67 NEG: Perimeter: 110.23, Area: 267, HullArea: 374.5, Ratio: 0.30882, Color: [195.86, 179.73, 179.81, 255]
KI67 POS: Perimeter: 50.87, Area: 139.5, HullArea: 151, Ratio: 0.22211, Color: [151.63, 154.78, 171.01, 255]
KI67 NEG: Perimeter: 57.698, Area: 191.5, HullArea: 205.5, Ratio: 0.45018, Color: [189.66, 171.19, 168.61, 255]
KI67 POS: Perimeter: 81.113, Area: 227, HullArea: 277, Ratio: 0.079948, Color: [130.64, 125.98, 145.8, 255]
KI67 POS: Perimeter: 72.284, Area: 255, HullArea: 283.5, Ratio: 0.1819, Color: [95.837, 99.071, 133.66, 255]
KI67 POS: Perimeter: 115.98, Area: 377.5, HullArea: 501.5, Ratio: 0.12049, Color: [116.32, 122.36, 153.92, 255]
KI67 POS: Perimeter: 70.77, Area: 328, HullArea: 341.5, Ratio: 0.70047, Color: [132.12, 135.33, 158.13, 255]
KI67 POS: Perimeter: 73.698, Area: 356.5, HullArea: 370, Ratio: 0.48308, Color: [74.856, 86.626, 130.26, 255]
KI67 POS: Perimeter: 37.556, Area: 94.5, HullArea: 97.5, Ratio: 0.47227, Color: [66.593, 71.186, 109.67, 255]
